Title,Kilde,Collection,State,Description,Body (rik tekst),Url
Registrere utgivelse fra digital distributør og plateselskap,Intercom,Min side,Published,Utgivelser og innspillinger fra digitale distributører og plateselskap ligger lagret i vårt system inntil de blir behandlet av oss.,"Gramo mottar informasjon om nye utgivelser og innspillinger, etter at de er utgitt, fra følgende digitale distributører og plateselskap:

- IndigoBoom

- The Orchard

- Universal

- Sony

- Warner

Vi lagrer informasjonen vi får fra disse selskapene i våre systemer, og hvis musikken blir spilt på radio forsøker vi å finne og legge til alle som har rettigheter til innspillingen, før vi utbetaler penger for den.",https://hjelp.gramo.no/nb/articles/3641696-registrere-utgivelse-fra-digital-distributor-og-plateselskap
Velge profil og sjekke kontonummer,Intercom,Min side,Published,Informasjon om hvordan du velger profilen du vil se på og legger inn eller oppdaterer kontonummer i Min side.,"1. Velg først profilen du ønsker å se på

Enten når du logger inn eller når du allerede har logget inn på Min side.

Hvis du ikke har flere profiler i Min side, kan du hoppe rett til:

- Sjekke kontonummer på mobil eller annen liten skjerm

- Sjekke kontonummer på PC eller annen større skjerm

Slik velger du profil når du logger inn

Når du logger inn trykker du på profilen du vil se på.

Dette gjelder kun hvis du har flere profiler.
​
Innloggingen ser lik ut på mobil og PC.

Slik velger du profil når du allerede logget inn

Hvis du allerede har logget inn i Min side kan du velge profil på følgende måter.

Min side ser forskjellig ut på mobil og PC. Vi starter med å se på hvordan det ser ut på mobil.


Velge profil på mobil eller annen liten skjerm:

Hvis du ikke har flere profiler kan du gå rett til steg 1 lenger ned i artikkelen 👇

Trykk på initialene dine oppe til høyre i skjermen for å se menyen til Min side.

Under ""Mine profiler"" kan du velge profilen du vil se på.

Velge profil på PC eller annen større skjerm

Trykk på pilen ved siden av ditt navn oppe til høyre i skjermen.

Da åpner du menyen til dine profiler og din Gramo-konto.

Hvis du ikke har flere profiler kan du gå rett til steg 1 lenger ned i artikkelen 👇

Under ""Mine profiler"" kan du velge profilen du vil se på.

2. Sjekke kontonummer på mobil eller annen liten skjerm

Steg 1 – Åpne menyen for dine profiler og Gramo-konto

Se hvordan du velger profil, øverst i denne denne artikkelen 👆

Steg 2 – Gå inn Min Gramo-konto for profilen du har valgt

Trykk på ""Min Gramo-konto""

Steg 3 – Åpne menyen for din Gramo-konto

Trykk på pilen for å åpne menyen til din Gramo-konto

Steg 4 – Velg ""Bank""

Trykk på ""Bank"" for å se informasjon om banktype og kontonummer

Steg 5 – Sjekk bankinformasjon

Sjekk at det ligger inne både kontotype og kontonummer.

Trykk på ""Rediger"" for å oppdatere eller legge inn informasjon her.

Hvis du har flere profiler må du bytte profil og deretter følge steg 1 – steg 5.

Sjekke kontonummer på PC eller annen større skjerm

Steg 1 – Åpne menyen for dine profiler og Gramo-konto

Klikk på pilen ved siden av ditt navn oppe til høyre i skjermen. Som vist på steg 1 i illustrasjonen under.

Steg 2 – Velg ""Min Gramo-konto""

Klikk på ""Min Gramo-konto"". Som vist på steg 2 i illustrasjonen under.

Steg 3 – Velg ""Bank""

Klikk på ""Bank"" i menyen til venstre for å se informasjon om banktype og kontonummer

Steg 4 – Sjekk bankinformasjon

Sjekk at det ligger inne både kontotype og kontonummer.

Klikk på ""Rediger"" for å oppdatere eller legge inn informasjon her.

Hvis du har flere profiler må du bytte profil og deretter følge steg 1 – steg 4.

Ikke nøl med å ta kontakt med oss hvis du trenger hjelp 😊

Sjekk våre planlagte utbetalinger her",https://hjelp.gramo.no/nb/articles/9144488-velge-profil-og-sjekke-kontonummer
Slik kommer du i gang med Min side,Intercom,Min side,Published,Litt info om første gang du tar i bruk Min side.,"Første gang du tar i bruk Min Side, må du opprette en konto:

- Gå til https://minside.gramo.no/create-profile

- Skriv inn fødselsnummer (11 siffer) eller organisasjonsnummer (9 siffer)

- Verifiser e-post og mobil

- Opprett nytt passord

Du blir bedt om å skrive inn e-post-adresse og mobil vi har registrert på deg. Dersom du ikke kommer deg forbi dette steget, kan dette skyldes at vi ikke har oppdaterte opplysninger om deg. Hvis dette er tilfelle, må du ta kontakt med oss.
​",https://hjelp.gramo.no/nb/articles/4035080-slik-kommer-du-i-gang-med-min-side
Hvordan gjøre rettighetskrav via Min Side?,Intercom,Min side,Published,Her finner du informasjon om hvordan du kan gjøre rettighetskrav via Min Side som produsent-rettighetshaver.,"*1.) Logg deg inn på Min Side.

Hvis du ikke har en logg inn til Min Side kontakt oss

2.) I menyen på venstre side - Klikk på Mine rettighetskrav.

3.) Helt til høyre i vinduet - Klikk på Søk etter innspillinger

Du kommer da inn i listen over alle avspillinger som er rapportert til Gramo.

Her kan du søke etter dine innspillinger å finne ut om de er avspilt og om rettighetene er korrekt registrert.

4.) Søk etter dine innspillinger 

Det er et åpent søk så du kan søke etter all informasjon som er knyttet til en innspilling, slik som tittel, hovedartist, utgivelse osv. Desto mer informasjon man legger inn i søket - jo, mer selektivt blir det.

Bare husk at det kan være ulik kvalitet på den informasjon som er rapportert inn. Noen ganger mangler noe av informasjonen. Så start med få opplysninger og før på mer etter hvert som du trenger å begrense søket.

5.) Velg den innspilling du ønsker å gjøre krav på

Husk at alle rettighetskrav må bli gjort rede for.

6.) og - Legg den til i dine rettighetskrav

Når du har valgt innspilling vil valg om å se ditt rettighetskrav bli synlig på høyre side i vinduet.

Når du har lagt til alle de innspillinger du ønsker å gjøre rettighetskrav til i din liste - må du legge til informasjon som Gramo trenger for å validere ditt rettighetskrav.

-Husk at du kan sende inn mange rettighetskravs-lister - så det kan være lurt å fokusere på én katalog, hovedartist eller utgivelse om gangen. Dette vil gjøre det enklere for deg når du legger til informasjon.*

7.) Til høyre i vinduet - Klikk på Se på rettighetskrav 

8.) Klikk på innspillingslinjene merket med - Manglende informasjon.

9.) Fyll inn den nødvendige informasjonen

Deretter klikk lagre.

Husk at hvis du har mange innspillinger i din kravs liste så vil det kanskje være lurt å kopiere rettighetseierskap til alle innspillinger i listen.

Når du har lagt inn all opplysning Gramo trenger for å validere ditt rettighetskrav

10.) Klikk på Fullfør",https://hjelp.gramo.no/nb/articles/7056291-hvordan-gjore-rettighetskrav-via-min-side
Registrere meg i en gruppe,Intercom,Min side,Published,"Enten det er band, orkester, korps, ensemble, kvartett m.m.","I Min Side kan du se hvilke grupper du er medlem i.
​
Er du medlem i en gruppe, men det vises ikke på profilen din? Da kan vi registrere  det for deg.

Send oss en melding nede høyre hjørne eller på en e-post til medlem@gramo.no
​",https://hjelp.gramo.no/nb/articles/4345379-registrere-meg-i-en-gruppe
Rollekode,Intercom,Min side,Published,Her finner du en oversikt over de forskjellige rollekodene.,"For å beregne hvor mye du skal ha utbetalt, må vi vite hvilken rolle du har hatt på alle låtene du har vært med på.

Du kan kun ha én rollekode per låt, selv om du for eksempel spiller flere instrumenter eller er både musikalsk leder og fast medlem i et band.

Hvis du kvalifiserer til flere rollekoder skal du velge den som kommer tidligst i alfabetet.

- A før B og C

- B før C

Her er kriteriene som avgjør hvilken rollekode du skal ha.

Rollekode A:

- Solist eller soloartist

- Featured artist

- Fast medlem i et band

Er du solist eller featured artist på noen andres låt? Fyll ut dette skjemaet og send til oss (pdf)

Rollekode B:

- Musiker som ikke er fast medlem i bandet

- Orkestermedlem

- Kormedlem

- Remixer

Rollekode C:

- Dirigent

- Musikalsk leder

Er du musikalsk leder? – Fyll ut dette skjemaet og send til oss (pdf)

Slik beregner vi utbetalingen for artist og musiker – les mer her",https://hjelp.gramo.no/nb/articles/4194970-rollekode
Grunnlag for faktura fra Gramo,Intercom,Faktura,Published,Gramos hjemmel for å kreve opp vederlag og ilegge avgift.,"Godkjent av Kulturdepartementet

Gramo er godkjent av Kulturdepartementet som oppkrevings- og fordelingsorganisasjon etter åndsverkloven § 21 ved offentlig fremføring og overføring til allmennheten av lydopptak. Godkjenningen gjelder ikke for videresending av kringkastede lydopptak eller for lydopptak som overføres på en slik måte at den enkelte selv kan velge tid og sted for tilgang til lydopptaket.

Avgift til Fond for utøvende kunstnere

For offentlig fremføring og overføring til allmennheten av lydopptak som ikke er vernet etter åndsverkloven § 21, gjelder lov om avgift til fond for utøvende kunstnere.

Kultur- og likestillingsdepartementet har bestemt at Gramo skal kreve inn avgiften på vegne av Fond for utøvende kunstnere (FFUK). Denne avgiften beregnes etter § 4 i forskrift om Fond for utøvende kunstnere.

Patentstyret

Gramo er registrert hos Patentstyret som en kollektiv forvaltningsorganisasjon jf. lov om kollektiv forvaltning av opphavsrett mv. §§ 2 første ledd og 3 bokstav a og 52.",https://hjelp.gramo.no/nb/articles/8879273-grunnlag-for-faktura-fra-gramo
Hva er grunnlaget for fakturaen til kommunen?,Intercom,Faktura,Published,Prisen beregnes etter innbyggertallet i kommunen.,"Alle kommuner skal hver år betale til Gramo for den innspilte musikken kommunen benytter i kommunale bygg og virksomheter.

Prisen beregnes etter innbyggertalet i kommunen. Innbyggertallet henter vi fra Statistisk sentralbyrå.
​
Prisen for bruk av musikk (tariffen) i kommunen er vedtatt av vederlagsnemnda som behandlet saken mellom Kommunenes Sentralforbund og Gramo.
​

Kommuner – vedtak fastsatt  21. oktober 2006 (pdf)
​
​Les om grunnlaget for at Gramo kan kreve betaling",https://hjelp.gramo.no/nb/articles/4418567-hva-er-grunnlaget-for-fakturaen-til-kommunen
Hva er EHF og ELMA?,Intercom,Faktura,Published,EHF er e-faktura for bedrifter. ELMA er et register som inneholder adressene som mottaker ønsker å få sendt sine dokumentene til.,"EHF er e-faktura for bedrifter.

Faktura og kreditnota som sendes på EHF går automatisk inn i ditt regnskapssystem, så du slipper å registrere disse manuelt . Gramo sender faktura og kreditnota på EHF til alle som er registrert i ELMA.

ELMA er et register som inneholder adressen til det aksesspunktet som mottaker ønsker å få sendt sine dokumentene til.

Mottakere som ligger her kan motta dokumenter fra andre uten at en forsendelsesavtale må foreligge.

Mottaker forplikter seg til å motta filen som sendes så lenge den er sendt i Elektronisk handelsformat (EHF) eller PEPPOL BIS format.",https://hjelp.gramo.no/nb/articles/4418720-hva-er-ehf-og-elma
Betaling til Fond for utøvende kunstnere (FFUK)?,Intercom,Faktura,Published,Avgift til Fond for utøvende kunstnere er inkludert i fakturaen.,"Når du betaler til Gramo er avgiften til Fond for utøvende kunstnere inkludert. På den måten slipper du å gjøre en ekstra betaling til dem. Beløpet er spesifisert på fakturaen fra Gramo.

Fondet bruker pengene til støtte til profesjonelle utøvende kunstnere som er bosatt og hovedsakelig har sitt virke i Norge.

Fond for utøvende kunstnere – du kan lese mer på deres nettsider",https://hjelp.gramo.no/nb/articles/3650281-betaling-til-fond-for-utovende-kunstnere-ffuk
