Created at,Visitor ID,Session ID,Labels,URLs,Device type,Top task,"Hva kom du til nettsiden for?","Annet: Hva kom du til nettsiden for?","Fikk du gjort det du kom for? ","Hvem besøker du nettsiden som nå?","Annet: Hvem besøker du nettsiden som nå?","Hva hindret deg i å få gjort det du kom for","Annet: Hva hindret deg i å få gjort det du kom for?","Hva gjør du for å få fullført det du skulle?","Har du noe mer å dele med oss?"
"03. Dec 2025 14:28:21",,01KBJ9T3QJQTVK354CY3K8WWHZ,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist som gir ut musikk selv",,,,,"Forferdelig tungvint å måtte legge inn samme opplysninger flere ganger. Dette må dere snart finne en løsning på!"
"31. Oct 2025 13:53:06",,01K8X8NYEHP3CG7PKG6PWQ4AP9,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,false,"Musiker / Artist som gir ut musikk selv",,Annet,,,
"26. Sep 2025 13:13:03",01K62HM0PCPXMNC5ZM8HQ0E5CN,01K632F9ZVHBHXJYJNJKCN16WK,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"11. Sep 2025 14:45:46",01K4WKPM2K2GKVG6BQQQGAS1KP,01K4WKSXKV7VHT743GB3CMKX81,,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,,,,,,,,
"30. Sep 2025 10:10:43",01K6D1MFQ62X54KVKCVC4VEBNP,01K6D1MFY9W1APRB3VCEY4Z5AX,,https://www.gramo.no/toppoppgaver,desktop,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Jeg prøver igjen senere",
"12. Nov 2025 10:29:23",,01K9VSSKC33WDP6PH8E4BT73JF,,https://www.gramo.no/toppoppgaver,desktop,"Registrere rettighetskrav","Registrere rettighetskrav",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Jeg finner en annen måte",
"30. Sep 2025 06:57:48",01K6CP0MRTXK02KGPRFWFHBHKJ,01K6CPK74HR9D97KDA9KD3BZ38,,https://www.gramo.no/toppoppgaver,unknown,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,false,"Musiker / Artist som gir ut musikk selv",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
"12. May 2025 00:01:10",01JV0WPN4QBYPD8FB4ZYC1WEB6,01JV0WPNHVBCE3S4G8B7FZ7NXB,Årsmøte,https://www.gramo.no/toppoppgaver,desktop,Annet,Annet,"Årsmøtet 3. juni",true,"Bedrift utenfor musikkbransjen",,,,,
"10. Oct 2025 13:52:01",01K775VMT9W1G84X9RJPP95EZZ,01K7768XR2DJ9PMK5M6RSJSKMR,,https://www.gramo.no/toppoppgaver,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,true,"Musiker / Artist som gir ut musikk selv",,,,,"Fungerer fint."
"22. Sep 2025 13:05:22",01K5RRDKC4D7XNKMJRSMCS68G9,01K5RREERMN054TRBFC089FJZN,,https://www.gramo.no/toppoppgaver,mobile,"Få oversikt over utbetalinger og økonomi","Få oversikt over utbetalinger og økonomi",,false,"Musiker / Artist",,"Jeg fant ikke det jeg lette etter",,"Jeg tar kontakt med Gramo",
