Created at,Visitor ID,Session ID,Labels,URLs,Device type,Top task,"Hva kom du til nettsiden for?","Annet: Hvorfor kom du til nettsiden?","Fikk du gjort det du kom for? ","Hvem besøker du nettsiden som nå?","Annet: Hvem besøker du nettsiden som nå?","Hva hindret deg i å få gjort det du kom for","Annet: Hva hindret deg i å få gjort det du kom for?","Hva gjør du for å få fullført det du skulle?","Har du noe mer å dele med oss?"
"01. Aug 2025 16:22:10",01K1K6YHKQ8RKBENAA37G0Q02X,01K1K6YJ8FBBQ174F8D27SMJ89,,https://www.gramo.no/bedrift/gramo-for-bedrifter,desktop,Annet,Annet,Podkast,false,Annet,Podkaster,"Jeg fant ikke det jeg lette etter",,"Jeg dropper det",
"13. Jun 2025 09:23:24",01JXM9FNMY63JEMTAYP90H3CES,01JXM9FP4CR2BE6VM0G4Q13HZN,,https://musikkbruk.gramo.no/kunde/oppgikode,desktop,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"31. May 2025 09:52:33",01JWJW3051F9Z9T5V8QWWHAF6W,01JWJW319KREE827E90PSGMKMK,,https://www.gramo.no/medlemskap/isrc-kode,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"17. Jun 2025 11:30:11",01JXYT7NYY126GSRRZMAZDTAXR,01JXYT7PJ3ZB4TA1ZX8PVJZJG3,,https://www.gramo.no/,desktop,Annet,Annet,"melde inn bruk av musikk",,,,,,,
"08. Jun 2025 19:25:59",01JX8E23TFHHY4J9YHX6V9Z3G3,01JX8E249N4B3TCAWW2VBWQ117,,https://www.gramo.no/,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"07. Jul 2025 08:35:58",01JZB1ZH9F46009DDDWFG10RQB,01JZJ08A5ZN1SVS3FQYNAF8ZRQ,,https://www.gramo.no/logg-inn,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
"19. Jun 2025 20:11:12",01JY4X1FW16R8B0964NPW7NQMG,01JY4X1GN15AS0S2Y0E8SS0Z9A,,https://www.gramo.no/bedrift/priskalkulator,mobile,"Sjekke pris for musikkbruk","Sjekke pris for musikkbruk",,,,,,,,
"23. Oct 2025 12:08:11",,01K88FDVNMC0S1MPYEVM04ZNJK,,https://www.gramo.no/logg-inn,null,"Ordne med ISRC-koder","Ordne med ISRC-koder",,,,,,,,
"31. Jul 2025 05:26:52",01K1FEMXA9MYY8DYAM0W0ECCG6,01K1FEMY8X14YVS44JFTWN868D,,https://www.gramo.no/logg-inn,desktop,"Registrere låt eller utgivelse","Registrere låt eller utgivelse",,,,,,,,
"21. Aug 2025 22:35:24",01K37C7W951N44PF3HXJ63YC7S,01K37C7XPR53F66RBGKW9TMQR5,,https://www.gramo.no/medlemskap/bli-medlem,mobile,"Sjekke eller oppdatere mine registreringer hos Gramo","Sjekke eller oppdatere mine registreringer hos Gramo",,,,,,,,
