"Juridisk term","Brukervennlig term","Forklarende term","Definisjon","Lovhenvisning","Kategori","Risikonivå","Risikobeskrivelse","Rettssak-risiko","Formuleringer å unngå","Eksempel nivå 1","Eksempel nivå 2","Eksempel nivå 3","Relaterte begreper","Forvekslingsfare","Engelsk ekvivalent","Kommentar","Kilde"
"Lydopptak","Innspilt musikk","Innspilt musikk (lydopptak)","En innspilling av lyd som kan gjengis, der utøvere og produsenter har nærstående rettigheter. Gramos kjernemandat.","Åndsverkloven §§ 20-21","Juridisk","Høy","Forveksling med 'musikkverk' (komposisjon) kan skape feil forventninger om hva Gramo forvalter vs. TONO","Kanskje","'sang' eller 'låt' i juridisk kontekst; 'musikkverk' (TONO-begrep)","Har du spilt inn musikk?","Gramo forvalter rettigheter til innspilt musikk (lydopptak) for utøvere og produsenter.","Lydopptak som definert i åndsverkloven § 20 omfatter enhver innspilling av lyd.","Utøvende kunstner; Produsent; Vederlag; Nærstående rettigheter","Ja","Phonogram; Sound recording","Kjernebegrepet som definerer Gramos virksomhet. Viktig å skille fra TONOs forvaltning av komposisjoner.","Åndsverkloven § 20"
"Nærstående rettigheter","Utøver- og produsentrettigheter","Rettigheter knyttet til innspilling (nærstående rettigheter)","Rettigheter som tilhører utøvende kunstnere og produsenter av lydopptak - i motsetning til opphavsrett som tilhører komponister og tekstforfattere.","Åndsverkloven kapittel 2 (§§ 16-24)","Juridisk","Høy","Begrepet 'naborettigheter' (gammel term) kan forvirre. Forveksling med opphavsrett er vanlig.","Ja","'naborettigheter' (utdatert); 'opphavsrett' (det er TONO); 'åndsverksrett'","Gramo sikrer at musikere og plateselskaper får betalt.","Utøver- og produsentrettigheter gir deg krav på betaling når innspillingene dine brukes offentlig.","Nærstående rettigheter etter åndsverkloven kapittel 2 forvaltes av Gramo.","Lydopptak; Opphavsrett; Utøvende kunstner; Produsent","Ja","Related rights; Neighbouring rights","Fundamentalt skille mellom Gramo (nærstående) og TONO (opphavsrett). Ofte misforstått av brukere.","Åndsverkloven kapittel 2"
"Vederlag","Betaling","Betaling for bruk av musikk (vederlag)","Betaling som rettighetshavere har krav på når lydopptak brukes offentlig. Ikke avgift eller skatt - det er kompensasjon for bruk av rettigheter.","Åndsverkloven § 21; CRM-loven § 3 bokstav g","Juridisk","Medium","Brukere kaller det ofte 'avgift' eller 'skatt', som gir feil forståelse av hva det er.","Nei","'avgift'; 'skatt'; 'gebyr'; 'lisens' alene (si heller 'lisensavgift' for brukersiden)","Få betalt når musikken din spilles.","Vederlag er betaling du får når innspillingene dine brukes på radio eller i butikker.","Vederlag iht. åndsverkloven § 21 kreves inn av Gramo og fordeles til rettighetshavere.","Offentlig fremføring; Rettighetshaver; Fordeling","Nei","Remuneration; Equitable remuneration","Korrekt begrep er viktig. 'Avgift' impliserer skatt, 'royalty' brukes for annen type betaling.","Åndsverkloven § 21"
"Offentlig fremføring","Musikkavspilling i det offentlige rom","Avspilling av musikk offentlig (offentlig fremføring)","Avspilling av lydopptak der publikum kan høre det - butikker, restauranter, treningssentre, venteværelser, hoteller etc.","Åndsverkloven § 21 første ledd","Juridisk","Medium","Grensen mellom offentlig og privat kan være uklar. Ansatte i butikk = offentlig, ikke 'privat'.","Ja","'offentlig spilling' (upresist); 'bakgrunnsmusikk' alene","Spiller du musikk i butikken? Da må du betale.","Offentlig fremføring betyr at musikk spilles der folk utenfor hjemmet ditt kan høre den.","Offentlig fremføring av lydopptak utløser vederlagsplikt etter åndsverkloven § 21.","Kringkasting; Vederlag; Bruker","Nei","Public performance; Communication to the public","Inkluderer ikke on-demand strømming (Spotify etc.) - det faller utenfor Gramos mandat.","Åndsverkloven § 21"
"Kringkasting","Radio og TV","Sending på radio og TV (kringkasting)","Overføring av lydopptak til allmennheten via radio eller TV. Gramos største inntektskilde.","Åndsverkloven § 21 første ledd","Juridisk","Lav","Kan forveksles med strømming/on-demand, som er noe annet og ikke forvaltes av Gramo.","Nei","'strømming' (det er on-demand); 'podcast' (avhenger av type)","Blir musikken din spilt på radio?","Når NRK eller andre radiokanaler spiller innspillingen din, samler Gramo inn vederlag.","Overføring til allmennheten ved kringkasting utløser vederlagsrett etter § 21.","Offentlig fremføring; Vederlag; NRK","Nei","Broadcasting","Radio er Gramos viktigste inntektskilde. NRK rapporterer detaljert, men lokale radioer mindre.","Åndsverkloven § 21"
"On-demand / Interaktiv tilgjengeliggjøring","Strømming","Strømmetjenester som Spotify (on-demand)","Tilgjengeliggjøring der brukeren selv velger tid og sted - Spotify, Apple Music, Tidal etc. Faller UTENFOR Gramos mandat.","Åndsverkloven § 16 bokstav c (unntaket i § 21)","Juridisk","Høy","Mange tror Gramo håndterer Spotify-inntekter. Det gjør vi IKKE - det er plateselskap/distributør.","Nei","'Gramo-inntekter fra Spotify' (feil); 'strømmevederlag fra Gramo' (feil)","Spotify-penger kommer ikke fra Gramo.","Gramo forvalter ikke strømmeinntekter. Det ordner plateselskapet eller distributøren din.","Tilgjengeliggjøring der den enkelte selv velger tid og sted (§ 21) er unntatt fra Gramos mandat.","Kringkasting; Enerett; Distributør","Ja","On-demand; Interactive making available","KRITISK misforståelse. Mange medlemmer forventer strømmeinntekter fra Gramo. Må kommuniseres tydelig.","Åndsverkloven § 16 bokstav c, § 21"
"Utøvende kunstner","Musiker, artist","Den som fremfører musikken (utøvende kunstner)","Den som fremfører et verk - synger, spiller instrument, dirigerer eller er musikalsk leder på en innspilling.","Åndsverkloven § 16","Rettighetshaver","Lav","Kan forveksles med 'artist' i markedsføringsforstand eller 'komponist' (TONO).","Kanskje","'artist' alene uten presisering; 'musiker' i juridiske dokumenter","Synger eller spiller du på innspillingen?","Som utøvende kunstner har du krav på vederlag når innspillingen din spilles offentlig.","Utøvende kunstner etter åndsverkloven § 16 har enerett til sin fremføring.","Produsent; Lydopptak; Fremføring","Ja","Performing artist; Performer","Inkluderer alle som fremfører: vokalister, instrumentalister, dirigenter, musikalske ledere.","Åndsverkloven § 16"
"Produsent (av lydopptak)","Plateselskap, labeleier, den som bekoster innspillingen","Den som finansierer og tar risikoen for innspillingen (produsent)","Den som initierer, tilrettelegger og bærer kostnadene med produksjonen av lydopptak. IKKE det samme som 'studioprodusent'.","Åndsverkloven § 20; HR-2023-2282-A","Rettighetshaver","Høy","STOR forvekslingsrisiko med 'studioprodusent/musikkprodusent'. Mange registrerer seg feil.","Ja","'produsent' alene uten forklaring; 'den som mikser'; 'studioprodusent'","Er du plateselskap eller gir du ut egen musikk?","Produsent i Gramo-sammenheng er den som betaler for innspillingen og eier masterrettighetene.","Produsent iht. åndsverkloven § 20 er den som forestår produksjonen - jf. HR-2023-2282-A.","Utøvende kunstner; Master; Lydopptak","Ja","Record producer (legal); Phonogram producer; Master owner","KRITISK begrep. Høyesterettsdommen 2023 presiserer: den som initierer og finansierer, ikke teknisk rolle.","Åndsverkloven § 20; HR-2023-2282-A"
"Personlig produsent","Selvutgivende artist","Artist som gir ut musikk selv (personlig produsent)","En utøvende kunstner som også bekoster og gir ut egen musikk - har både utøver- og produsentrettigheter.","Åndsverkloven §§ 16, 20","Rettighetshaver","Medium","Noen tror de automatisk er 'produsent' fordi de har spilt inn selv - men det avhenger av hvem som betaler.","Kanskje","'DIY-artist' i juridisk sammenheng; 'egen produsent'","Gir du ut musikk på egen hånd?","Hvis du betaler for innspillingen selv og gir den ut, er du personlig produsent.","Personlig produsent har både utøver- og produsentrettigheter til lydopptaket.","Produsent; Utøvende kunstner; Distributør","Ja","Self-releasing artist; Independent producer","Stadig vanligere kategori. Viktig å forstå at produsent-begrepet handler om finansiering, ikke musikalsk rolle.","Gramos vedtekter"
"Rettighetshaver","Deg som har rett til betaling","Person eller selskap med rettigheter (rettighetshaver)","Enhver person eller enhet som har nærstående rettigheter til lydopptak - utøvere, produsenter eller deres arvinger.","CRM-loven § 3 bokstav c","Rettighetshaver","Lav","Kan forveksles med 'opphaver' (komponist/tekstforfatter - TONO).","Nei","'opphaver' (det er TONO); 'eier' alene","Du som har rett til betaling fra Gramo.","Som rettighetshaver får du vederlag når musikken din brukes.","Rettighetshaver iht. CRM-loven § 3 omfatter utøvere, produsenter og deres suksessorer.","Utøvende kunstner; Produsent; Arving","Ja","Rights holder; Beneficiary","Samlebegrep for alle som har krav på vederlag fra Gramo.","CRM-loven § 3 bokstav c"
"Arving / Successor","Etterlatte","Etterlatte som arver musikkrettigheter (arving)","Person som har arvet nærstående rettigheter etter en avdød utøver eller produsent.","Åndsverkloven § 22 (vernetid), arveloven","Rettighetshaver","Medium","Kompleks situasjon med flere arvinger. Dokumentasjon kan mangle.","Ja","'familie' i juridisk sammenheng; 'slektninger'","Har du arvet musikkrettigheter?","Arvinger til utøvere og produsenter kan fortsette å motta vederlag i vernetiden.","Suksessor til rettighetshaver trer inn i dennes rettigheter iht. alminnelige arverettslige regler.","Vernetid; Rettighetshaver; Bo","Nei","Heir; Successor; Estate","Arvesaker krever dokumentasjon. Vernetiden løper 70 år etter publisering.","Åndsverkloven § 22; arveloven"
